"school","sex","address","famsize","Pstatus","Mjob","Fjob","reason","guardian","age","Medu","Fedu","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","w"
"GP","M","R","GT3","T","teacher","at_home","course","mother",15,3.5,3,1,2,0,0,0.5,0,1,0.5,1,1,0.5,4.5,4,2,1,1,3.5,0,12.5,13,14,45
"GP","M","U","LE3","T","other","other","course","mother",15,3.5,3,1,2,0,0,0.5,0,1,0.5,1,1,0.5,4.5,4,2,1,1,3.5,0,12.5,13,14,45
"GP","M","U","GT3","T","other","other","home","mother",16,3.5,3,1.5,2,0,0,1,0.5,0.5,0.5,1,1,0.5,3.5,4,3,1,1,5,3.5,13.5,15,15,52.5
"GP","F","U","GT3","T","other","other","other","father",15,3,3,1.5,2,0,0,1,0,1,1,1,0.5,0,4,4.5,2,1,1,4.5,1,11.5,11.5,12,54.5
"GP","M","U","LE3","T","teacher","services","home","mother",15,3,3,1.5,2,0,0,1,0,1,1,1,0.5,0,4,4.5,2,1,1,4.5,1,11.5,11.5,12,54.5
"GP","M","R","GT3","A","other","teacher","reputation","mother",16,3.5,3,1.5,2,0,0,1,0.5,0.5,0.5,1,1,0.5,3.5,4,3,1,1,5,3.5,13.5,15,15,52.5
"GP","F","R","GT3","T","services","health","course","mother",15,2.5,3,1,2,0,1,1,1,1,1,1,0.5,0,4,3,1.5,1,1,3.5,5,13,12.5,12,50
"GP","F","R","GT3","T","at_home","other","reputation","mother",15,2.5,3,1,2,0,1,1,1,1,1,1,0.5,0,4,3,1.5,1,1,3.5,5,13,12.5,12,50
"GP","F","U","LE3","T","other","other","home","mother",16,2,2,2,2,1,0.5,0.5,0,1,0.5,1,1,0.5,3.5,3,3,1.5,2,4,19.5,8.5,10,10,47.5
"GP","M","U","LE3","T","teacher","other","home","other",15,4,4,1,1.5,0,0,1,0,0.5,0.5,1,1,0.5,4.5,3.5,3,1.5,2.5,5,5,15.5,15,15,47
"GP","M","U","GT3","T","services","teacher","course","father",15,4,4,1,1.5,0,0,1,0,0.5,0.5,1,1,0.5,4.5,3.5,3,1.5,2.5,5,5,15.5,15,15,47
"GP","M","U","GT3","T","services","services","course","father",15,3,2.5,1,1.5,0,1,1,0.5,0.5,1,1,1,0.5,5,3,1.5,1,1,3,4,8,8,8.5,50
"GP","F","U","LE3","T","other","at_home","course","father",16,2,2,2,2,1,0.5,0.5,0,1,0.5,1,1,0.5,3.5,3,3,1.5,2,4,19.5,8.5,10,10,47.5
"GP","F","U","LE3","A","other","other","course","mother",15,3,2.5,1,1.5,0,1,1,0.5,0.5,1,1,1,0.5,5,3,1.5,1,1,3,4,8,8,8.5,50
"GP","F","U","LE3","A","other","services","home","mother",16,3.5,3,1,3,0,0,0.5,0,0.5,1,1,1,0,3,2.5,3.5,1,2.5,2.5,8,15,15.5,15.5,41.5
"GP","M","U","GT3","T","health","services","reputation","mother",16,3.5,3,1,3,0,0,0.5,0,0.5,1,1,1,0,3,2.5,3.5,1,2.5,2.5,8,15,15.5,15.5,41.5
"GP","M","U","GT3","T","teacher","other","home","mother",15,4,3,1,2,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0,4,3.5,3.5,1.5,1.5,4,2,11,11,10.5,50
"GP","F","U","GT3","T","services","teacher","other","father",15,4,3,1,2,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0,4,3.5,3.5,1.5,1.5,4,2,11,11,10.5,50
"GP","F","U","LE3","T","services","services","course","mother",16,2,1.5,2,2,0,0,0.5,1,0.5,1,1,1,0.5,4.5,3,3.5,1.5,2,3,5,10,11,11.5,50.5
"GP","F","U","LE3","T","health","other","other","mother",15,4,2,1.5,1.5,0.5,0,0.5,0.5,0,1,1,0.5,0,4.5,4,4,2,2.5,5,4,11,12,11.5,47
"GP","M","U","LE3","A","health","health","other","father",15,4,2,1.5,1.5,0.5,0,0.5,0.5,0,1,1,0.5,0,4.5,4,4,2,2.5,5,4,11,12,11.5,47
"GP","F","U","GT3","T","services","services","course","mother",15,3.5,3.5,1,1,0,0.5,0.5,1,0,1,1,1,0,4,3,4,3,3.5,3,3,9,11.5,12,45.5
"GP","F","U","LE3","A","other","other","other","mother",15,3.5,3.5,1,1,0,0.5,0.5,1,0,1,1,1,0,4,3,4,3,3.5,3,3,9,11.5,12,45.5
"GP","F","U","GT3","A","other","other","other","mother",16,2,1.5,2,2,0,0,0.5,1,0.5,1,1,1,0.5,4.5,3,3.5,1.5,2,3,5,10,11,11.5,50.5
"GP","F","U","GT3","A","services","services","reputation","mother",15,4,3.5,1,2,0,0,1,0.5,1,1,1,0.5,0,3.5,2.5,2,1,1,3,2,14,15,15,49
"GP","M","U","GT3","T","teacher","health","reputation","mother",15,4,3.5,1,2,0,0,1,0.5,1,1,1,0.5,0,3.5,2.5,2,1,1,3,2,14,15,15,49
"GP","M","U","LE3","T","other","at_home","home","father",15,2.5,2.5,1,2,0,1,0.5,0,1,1,1,1,0.5,4,3.5,3,1.5,2.5,3.5,1,9.5,10,9.5,50
"GP","F","U","GT3","T","services","other","course","mother",16,4,3,1,2,0,0,1,0,0.5,1,1,0.5,0,3,3,3.5,1.5,2,4.5,4,12.5,13.5,13.5,52
"GP","F","R","GT3","T","health","teacher","other","mother",16,4,3,1,2,0,0,1,0,0.5,1,1,0.5,0,3,3,3.5,1.5,2,4.5,4,12.5,13.5,13.5,52
"GP","F","U","GT3","T","services","services","course","father",16,1,1.5,2.5,1.5,0,1,0.5,0,1,0.5,1,1,0.5,4.5,4.5,4,3,3,3,5,9,9,10,46.5
"GP","F","U","LE3","T","other","services","reputation","father",16,1,1.5,2.5,1.5,0,1,0.5,0,1,0.5,1,1,0.5,4.5,4.5,4,3,3,3,5,9,9,10,46.5
"GP","F","U","GT3","T","teacher","health","home","mother",16,4,3,2,2.5,0,0.5,1,0.5,1,1,1,1,0,4,4,3.5,1.5,3,2.5,2,13,12,12,54
"GP","F","U","LE3","T","services","services","reputation","father",15,2.5,2.5,1,2,0,1,0.5,0,1,1,1,1,0.5,4,3.5,3,1.5,2.5,3.5,1,9.5,10,9.5,50
"GP","F","U","LE3","T","teacher","services","course","mother",16,4,3,2,2.5,0,0.5,1,0.5,1,1,1,1,0,4,4,3.5,1.5,3,2.5,2,13,12,12,54
"GP","M","U","GT3","A","other","services","reputation","mother",15,3,3,1.5,3,0,0.5,1,0.5,0.5,0.5,1,1,0.5,2.5,2,3,3,4,3.5,3,10.5,11,10,49.5
"GP","F","U","GT3","T","services","other","course","mother",16,3,1,1.5,4,0,0.5,1,1,0,1,1,1,0,4,3,2.5,1,1.5,5,2,10,11,10.5,45.5
"GP","F","R","LE3","T","health","services","reputation","mother",15,3,3,1.5,3,0,0.5,1,0.5,0.5,0.5,1,1,0.5,2.5,2,3,3,4,3.5,3,10.5,11,10,49.5
"GP","F","R","LE3","T","other","other","reputation","father",15,3.5,1.5,1.5,4,0,0,0.5,0,0,0.5,1,1,0,3.5,3.5,2.5,1.5,2,3,6,13,13,13,50
"GP","M","U","GT3","T","other","other","reputation","father",16,3,1,1.5,4,0,0.5,1,1,0,1,1,1,0,4,3,2.5,1,1.5,5,2,10,11,10.5,45.5
"GP","M","U","GT3","T","other","other","course","mother",15,3.5,1.5,1.5,4,0,0,0.5,0,0,0.5,1,1,0,3.5,3.5,2.5,1.5,2,3,6,13,13,13,50
"GP","F","R","GT3","T","other","other","reputation","mother",15,2.5,2,1,2,1,0.5,1,0.5,0.5,0.5,1,1,0.5,3.5,3,3.5,2,3.5,5,4,8.5,7.5,7.5,49
"GP","M","U","GT3","T","other","other","reputation","mother",16,3,2,1,1.5,0,0.5,0.5,0.5,1,1,1,0.5,0,4.5,3,2.5,2,3,5,28,11.5,12,12.5,54.5
"GP","F","U","GT3","T","other","services","home","mother",16,3,2,1,1.5,0,0.5,0.5,0.5,1,1,1,0.5,0,4.5,3,2.5,2,3,5,28,11.5,12,12.5,54.5
"GP","M","U","GT3","T","teacher","other","home","mother",15,2.5,2,1,2,1,0.5,1,0.5,0.5,0.5,1,1,0.5,3.5,3,3.5,2,3.5,5,4,8.5,7.5,7.5,49
"GP","M","U","GT3","T","teacher","other","course","mother",15,3,1.5,1.5,2.5,0,0.5,0.5,0.5,1,0.5,1,1,0.5,3,3,2.5,1,2,2,5,10.5,11.5,11,54
"GP","F","U","GT3","T","other","other","reputation","mother",16,2.5,3,1,3,0,0,0.5,0.5,0,1,1,1,0.5,3.5,3,3,1,2.5,3,6,8,8,8,52.5
"GP","M","U","GT3","T","other","other","home","mother",17,2.5,1.5,1.5,1,3,0.5,1,0,1,1,0.5,1,0,4.5,5,3,1.5,2.5,4,9,7,6.5,7.5,46.5
"GP","F","U","GT3","T","at_home","other","course","mother",16,2.5,3,1,3,0,0,0.5,0.5,0,1,1,1,0.5,3.5,3,3,1,2.5,3,6,8,8,8,52.5
"GP","M","U","GT3","T","other","services","course","father",15,3,1.5,1.5,2.5,0,0.5,0.5,0.5,1,0.5,1,1,0.5,3,3,2.5,1,2,2,5,10.5,11.5,11,54
"GP","M","U","GT3","T","other","other","home","mother",15,2.5,2.5,1,2.5,0,0.5,0.5,1,0,0.5,1,1,0,4.5,3.5,3,1,1.5,5,7,9,8,8.5,41.5
"GP","F","U","LE3","T","services","other","reputation","mother",15,2.5,2.5,1,2.5,0,0.5,0.5,1,0,0.5,1,1,0,4.5,3.5,3,1,1.5,5,7,9,8,8.5,41.5
"GP","M","U","LE3","T","services","services","home","mother",15,1.5,1.5,1.5,2,0,0,0.5,0.5,1,0.5,1,1,0,4.5,3,2.5,1.5,3,4,3,12,12.5,12.5,46
"GP","F","U","GT3","T","other","other","home","father",15,1.5,1.5,1.5,2,0,0,0.5,0.5,1,0.5,1,1,0,4.5,3,2.5,1.5,3,4,3,12,12.5,12.5,46
"GP","F","U","GT3","T","services","services","reputation","father",15,4,3,1.5,2.5,1,0,0.5,0.5,0.5,1,1,1,0.5,4.5,3.5,3.5,1.5,3,3,5,10,11.5,11,51
"GP","F","U","LE3","T","at_home","other","course","mother",16,2,2,1.5,2,0.5,0,0.5,0.5,0.5,0.5,1,0.5,0,4,3.5,3,1,1.5,2.5,8,9.5,8.5,8,51.5
"GP","F","U","GT3","T","other","other","reputation","mother",15,4,3,1.5,2.5,1,0,0.5,0.5,0.5,1,1,1,0.5,4.5,3.5,3.5,1.5,3,3,5,10,11.5,11,51
"GP","M","U","GT3","T","services","other","reputation","father",16,2,2,1.5,2,0.5,0,0.5,0.5,0.5,0.5,1,0.5,0,4,3.5,3,1,1.5,2.5,8,9.5,8.5,8,51.5
"GP","M","U","LE3","A","teacher","health","reputation","mother",16,3.5,3.5,1,2.5,0,0,1,0.5,0,1,1,0.5,0.5,4,2,3,2,4,4.5,9,7.5,6.5,7.5,61
"GP","F","U","GT3","T","other","other","home","mother",16,3.5,3.5,1,2.5,0,0,1,0.5,0,1,1,0.5,0.5,4,2,3,2,4,4.5,9,7.5,6.5,7.5,61
"GP","F","U","GT3","T","services","other","reputation","mother",15,3,2.5,1,2.5,0,0,0.5,0.5,1,1,1,1,0,4,4,4.5,1,2,2.5,5,13.5,15,16,54.5
"GP","F","U","LE3","T","other","other","home","father",16,3.5,1.5,1.5,2,0,0.5,1,0.5,0.5,1,1,0.5,0,4,3,3,1.5,2,1.5,2,9,8,8,48
"GP","F","U","GT3","T","teacher","services","home","mother",16,3.5,1.5,1.5,2,0,0.5,1,0.5,0.5,1,1,0.5,0,4,3,3,1.5,2,1.5,2,9,8,8,48
"GP","M","U","LE3","T","services","health","reputation","mother",15,3,2.5,1,2.5,0,0,0.5,0.5,1,1,1,1,0,4,4,4.5,1,2,2.5,5,13.5,15,16,54.5
"GP","F","R","GT3","T","at_home","other","home","mother",15,2.5,2.5,1.5,2.5,0.5,0.5,1,0.5,1,0.5,1,1,0,4,2,2.5,1,1,3,3,8.5,11.5,12,54.5
"GP","M","R","GT3","T","services","other","reputation","mother",16,3,2,1.5,1.5,0,0.5,1,0.5,0.5,0.5,1,0.5,0.5,3.5,3,4,1,1,4.5,2,9.5,12,12.5,53
"GP","F","U","GT3","T","other","other","course","mother",16,3,2,1.5,1.5,0,0.5,1,0.5,0.5,0.5,1,0.5,0.5,3.5,3,4,1,1,4.5,2,9.5,12,12.5,53
"GP","F","U","GT3","T","other","other","reputation","mother",16,4,3.5,1,2,0,0.5,0.5,0.5,0.5,0.5,1,1,0,5,3,4.5,1,1.5,2,3,9,11.5,11,48
"GP","F","U","GT3","T","other","at_home","course","mother",16,4,3.5,1,2,0,0.5,0.5,0.5,0.5,0.5,1,1,0,5,3,4.5,1,1.5,2,3,9,11.5,11,48
"GP","M","U","GT3","T","services","services","other","mother",16,4,4,1,2,0,0.5,1,0.5,1,1,1,1,0.5,4,4.5,4,3,3,4,7,11.5,12,11,39
"GP","M","U","GT3","T","services","teacher","other","father",16,4,4,1,2,0,0.5,1,0.5,1,1,1,1,0.5,4,4.5,4,3,3,4,7,11.5,12,11,39
"GP","M","U","GT3","T","services","other","course","mother",15,2.5,2.5,1.5,2.5,0.5,0.5,1,0.5,1,0.5,1,1,0,4,2,2.5,1,1,3,3,8.5,11.5,12,54.5
"GP","F","U","GT3","T","services","other","home","mother",15,3,3,1.5,2,0,0.5,1,1,0.5,1,1,1,0,4.5,3.5,4.5,1,1,1.5,13,11.5,12,12,46.5
"GP","M","U","GT3","A","services","other","course","mother",15,3,3,1.5,2,0,0.5,1,1,0.5,1,1,1,0,4.5,3.5,4.5,1,1,1.5,13,11.5,12,12,46.5
"GP","F","U","GT3","A","other","health","reputation","father",15,2.5,2.5,1,4,0,1,0.5,0.5,0,1,1,0.5,0,4.5,2,2.5,1,1,3.5,9,8.5,9.5,9.5,36
"GP","F","U","GT3","T","other","other","course","mother",15,2.5,2.5,1,4,0,1,0.5,0.5,0,1,1,0.5,0,4.5,2,2.5,1,1,3.5,9,8.5,9.5,9.5,36
"GP","M","U","GT3","T","services","other","home","father",16,3.5,3.5,1,3,0,0,1,0.5,1,1,1,1,0.5,5,3.5,4,1,1,4.5,3,15,16.5,17,44.5
"GP","M","R","GT3","T","other","other","home","father",15,4,4,2.5,2.5,0,0,0.5,0.5,1,1,1,1,0.5,3,4,4,2,3,2.5,6,14,16,16,51
"GP","F","U","LE3","T","health","health","other","mother",16,3.5,3.5,1,3,0,0,1,0.5,1,1,1,1,0.5,5,3.5,4,1,1,4.5,3,15,16.5,17,44.5
"GP","M","U","LE3","A","teacher","teacher","course","mother",15,4,4,2.5,2.5,0,0,0.5,0.5,1,1,1,1,0.5,3,4,4,2,3,2.5,6,14,16,16,51
"GP","F","R","GT3","T","services","other","reputation","father",16,2.5,2.5,1,2.5,1,1,0.5,0,1,1,1,1,0,3.5,1,2,1,1,3.5,3,8.5,11.5,11.5,46.5
"GP","F","U","GT3","T","at_home","other","home","mother",16,2.5,2.5,1,2.5,1,1,0.5,0,1,1,1,1,0,3.5,1,2,1,1,3.5,3,8.5,11.5,11.5,46.5
"GP","M","U","LE3","T","teacher","other","course","mother",15,3,1.5,1,1.5,0,0,0,0,0.5,1,1,1,0.5,4,4.5,2,1,1,4,9,13.5,14,14,56.5
"GP","M","R","GT3","T","health","services","reputation","mother",15,3,1.5,1,1.5,0,0,0,0,0.5,1,1,1,0.5,4,4.5,2,1,1,4,9,13.5,14,14,56.5
"GP","M","U","GT3","T","teacher","teacher","course","father",16,3.5,3.5,1.5,1.5,0,0,0.5,0,1,1,1,1,0,5,4,3,1,1.5,5,1,14,14.5,14.5,44
"GP","M","U","GT3","T","other","teacher","reputation","father",15,3.5,4,1.5,1.5,0,0,0.5,0,0.5,1,1,0.5,0,3.5,4,3,1,1.5,3,4,12.5,13,13.5,45.5
"GP","M","U","GT3","T","other","services","home","father",16,3.5,3.5,1.5,1.5,0,0,0.5,0,1,1,1,1,0,5,4,3,1,1.5,5,1,14,14.5,14.5,44
"GP","M","R","GT3","T","other","other","course","father",17,1.5,2.5,2,1.5,0.5,0,1,0,0.5,1,1,1,0.5,4,3,4,1,3.5,5,16,9.5,10,10,54
"GP","M","U","GT3","T","other","other","reputation","father",15,3.5,4,1.5,1.5,0,0,0.5,0,0.5,1,1,0.5,0,3.5,4,3,1,1.5,3,4,12.5,13,13.5,45.5
"GP","F","U","GT3","T","at_home","services","course","mother",15,1.5,2,1,3,0,0,0.5,0.5,0.5,0.5,1,1,0,4,3.5,3.5,1,2,3,4,16,14.5,15,45
"GP","M","U","GT3","T","services","services","home","father",15,1.5,2,1,3,0,0,0.5,0.5,0.5,0.5,1,1,0,4,3.5,3.5,1,2,3,4,16,14.5,15,45
"GP","F","U","LE3","T","other","health","course","father",16,3,4,1.5,1.5,0,0,1,0.5,1,1,1,1,0.5,3.5,3,3,1,3,5,10,13.5,12,13,52
"GP","M","U","GT3","T","health","other","course","mother",16,3,4,1.5,1.5,0,0,1,0.5,1,1,1,1,0.5,3.5,3,3,1,3,5,10,13.5,12,13,52
"GP","F","U","GT3","T","other","other","home","mother",16,3,3,1,1.5,0,0,0,1,0.5,1,1,1,0.5,4,4.5,4.5,1.5,3,4.5,4,13,12.5,13,51
"GP","M","U","GT3","T","services","services","home","father",15,3,4,1,1.5,0,1,0,0,0.5,1,1,1,0.5,5,4,3.5,2,1.5,3,0,10,11.5,11.5,46.5
"GP","F","U","LE3","A","other","other","home","mother",15,3,4,1,1.5,0,1,0,0,0.5,1,1,1,0.5,5,4,3.5,2,1.5,3,0,10,11.5,11.5,46.5
"GP","F","U","GT3","T","at_home","other","course","other",19,1.5,1.5,1,1.5,3,0,1,0,0,0.5,0,0.5,0.5,3.5,4.5,3,1,1,4.5,1,6,4,4.5,46.5
"GP","M","R","GT3","T","services","other","reputation","mother",18,3,3,1.5,1.5,1,0.5,0.5,0,0.5,1,1,0.5,0,3.5,3,3.5,1,1.5,3.5,3,6,5,3,47
"GP","M","R","GT3","T","teacher","teacher","course","mother",16,3,3,1,1.5,0,0,0,1,0.5,1,1,1,0.5,4,4.5,4.5,1.5,3,4.5,4,13,12.5,13,51
"GP","F","R","GT3","T","services","teacher","course","father",15,2,2.5,2.5,2,1,0,1,0,0.5,0.5,1,1,1,4,2.5,2.5,1.5,2,4.5,0,10,0,0,57
"GP","F","U","GT3","T","at_home","other","course","mother",15,2,2.5,2.5,2,1,0,1,0,0.5,0.5,1,1,1,4,2.5,2.5,1.5,2,4.5,0,10,0,0,57
"GP","F","U","LE3","T","other","other","course","father",17,1.5,2.5,2,1.5,0.5,0,1,0,0.5,1,1,1,0.5,4,3,4,1,3.5,5,16,9.5,10,10,54
"GP","F","U","GT3","A","services","other","course","father",16,3,3.5,1.5,1,1,0,0.5,0,0.5,0.5,1,1,0.5,3.5,2.5,1.5,1,2.5,5,8,8,5.5,5.5,56.5
"GP","M","R","GT3","T","at_home","teacher","course","mother",15,3.5,4,2.5,2.5,0,0,1,0,0.5,1,1,0.5,1,4.5,3,3,1,1,5,0,10,0,0,51
"GP","F","U","GT3","T","services","at_home","course","mother",15,3.5,4,2.5,2.5,0,0,1,0,0.5,1,1,0.5,1,4.5,3,3,1,1,5,0,10,0,0,51
"GP","M","R","GT3","T","at_home","other","course","mother",17,2.5,2.5,2,1.5,1.5,0,0.5,0,0,1,1,0.5,0,5,4,5,1.5,3,5,0,7.5,0,0,50.5
"GP","F","U","GT3","A","other","other","course","other",16,3,3.5,1.5,1,1,0,0.5,0,0.5,0.5,1,1,0.5,3.5,2.5,1.5,1,2.5,5,8,8,5.5,5.5,56.5
"GP","M","U","LE3","T","services","other","course","mother",16,1.5,1.5,1.5,1.5,1.5,0,0.5,0,0.5,1,1,0.5,0.5,3,3.5,3.5,1.5,2.5,3.5,4,11.5,10.5,10.5,45.5
"GP","F","U","GT3","T","teacher","teacher","course","mother",15,4,3.5,2,2.5,0,0.5,0.5,0,0.5,1,1,1,0,3,2.5,2,1,1,4,0,11.5,12.5,7.5,49
"GP","M","U","GT3","T","teacher","services","course","father",15,4,3.5,2,2.5,0,0.5,0.5,0,0.5,1,1,1,0,3,2.5,2,1,1,4,0,11.5,12.5,7.5,49
"GP","M","U","LE3","T","services","services","reputation","father",16,1.5,1.5,1.5,1.5,1.5,0,0.5,0,0.5,1,1,0.5,0.5,3,3.5,3.5,1.5,2.5,3.5,4,11.5,10.5,10.5,45.5
"GP","F","U","GT3","T","teacher","services","course","mother",15,2.5,2.5,1,2.5,0,0,1,1,0.5,1,1,1,0,4,3,2,1,1.5,5,1,8.5,11,11,51
"GP","F","U","LE3","T","at_home","at_home","course","mother",16,2.5,2.5,1,1,0,0,0.5,0,0,1,0.5,1,0.5,3,3.5,3,2.5,2,3,1,10.5,10,6.5,43
"GP","M","U","GT3","T","other","other","home","mother",17,2.5,2.5,2,1.5,1.5,0,0.5,0,0,1,1,0.5,0,5,4,5,1.5,3,5,0,7.5,0,0,50.5
"GP","F","U","GT3","T","other","services","course","father",15,2.5,2.5,1,2.5,0,0,1,1,0.5,1,1,1,0,4,3,2,1,1.5,5,1,8.5,11,11,51
"GP","F","U","GT3","T","health","services","home","father",15,2,2,1,2,1.5,0,1,0.5,0,0.5,1,1,0,3.5,3,2,1,1,4,1,8,9,5.5,50
"GP","F","U","GT3","T","at_home","other","course","mother",15,2,2,1,2,1.5,0,1,0.5,0,0.5,1,1,0,3.5,3,2,1,1,4,1,8,9,5.5,50
"GP","M","U","GT3","T","teacher","teacher","course","mother",16,2.5,2.5,1,1,0,0,0.5,0,0,1,0.5,1,0.5,3,3.5,3,2.5,2,3,1,10.5,10,6.5,43
"GP","M","U","LE3","A","services","other","course","mother",15,2.5,2,3,2,2.5,0,0.5,0.5,0.5,1,1,1,0.5,4,3.5,3,2,4,4,4,9,9.5,10,55
